"","old_code","old_scientificName","old_UpdateStatus","ScientificNameAuthorCoL","TaxonomicStatus","new_canonicalName","new_authorship","new_code","new_scientificName","new_UpdateStatus","ruleApplied","new_classification"
"780","6010","Lipophrys pavo","Deletion","Salaria pavo (Risso, 1810)","Synonym","not available","not available","not found in Natura2000 List","not available","not available","Synonym - not available","not available"
"781","5701","Lissotriton boscai","Deletion","Lissotriton boscai (Lataste in Tourneville, 1879)","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"782","5916","Lissotriton helveticus","Deletion","Lissotriton helveticus (Razoumovsky, 1789)","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"783","5702","Lissotriton montadoni","Deletion","","Unresolved","not available","not available","not found in Natura2000 List","not available","not available","Unresolved - not available","not available"
"784","1668","Lithodora nitida","Deletion","Glandora nitida (Ern) D. C. Thomas","Synonym","Glandora nitida","(Ern) R. Fern.","7023","Glandora nitida","Addition","Synonym - Addition","SPECIES:Glandora nitida (Ern) D. C. Thomas|GENUS:Glandora D. C. Thomas, Weigend & Hilger|SUBFAMILY:Boraginoideae Arn.|FAMILY:Boraginaceae Juss.|ORDER:Boraginales Juss. ex Bercht. & J. Presl|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|KINGDOM:Plantae|UNRANKED:Biota"
"785","5703","Liza aurata","Deletion","Chelon auratus (Risso, 1810)","Synonym","not available","not available","not found in Natura2000 List","not available","not available","Synonym - not available","not available"
"786","5704","Liza ramada","Deletion","Chelon richardsonii (Smith, 1846)","Misapplied","not available","not available","not found in Natura2000 List","not available","not available","Misapplied - not available","not available"
"787","5705","Liza saliens","Deletion","Chelon saliens (Risso, 1810)","Synonym","not available","not available","not found in Natura2000 List","not available","not available","Synonym - not available","not available"
"788","5706","Lobotes surinamensis","Deletion","Lobotes surinamensis (Bloch, 1790)","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"789","5707","Lophius piscatorius","Deletion","Lophius piscatorius Linnaeus, 1758","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"790","5708","Lota lota","Deletion","Lota lota (Linnaeus, 1758)","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
